event_occurrence_id,event_name,event_date_time_start,event_date_time_end,event_location,event_capacity,event_registration_deadline
261,Monthly Art Studio Workshop,6/15/22 10:00,6/15/22 12:00,Virtual Zoom,100,6/8/22 10:00
262,Robotics Lab Saturday,2/4/23 10:00,2/4/23 12:00,Community Center Room A,100,1/28/23 10:00
263,Web Dev Bootcamp Night,1/24/25 10:00,1/24/25 12:00,Ella Rises HQ,100,1/17/25 10:00
264,Intro to Painting Class,6/15/23 10:00,6/15/23 12:00,Ella Rises HQ,100,6/8/23 10:00
265,Data Science Study Group,6/22/22 10:00,6/22/22 12:00,Local Library,100,6/15/22 10:00
266,Data Science Study Group,8/16/23 10:00,8/16/23 12:00,Community Center Room A,100,8/9/23 10:00
267,Data Science Study Group,8/23/23 10:00,8/23/23 12:00,Ella Rises HQ,100,8/16/23 10:00
268,Girls in STEAM Mentoring,4/8/25 10:00,4/8/25 12:00,Local Library,100,4/1/25 10:00
269,Mentor Office Hours,7/13/25 10:00,7/13/25 12:00,Ella Rises HQ,100,7/6/25 10:00
270,Intro to Painting Class,6/6/24 10:00,6/6/24 12:00,Art Studio 2,100,5/30/24 10:00
271,Intro to Painting Class,8/22/24 10:00,8/22/24 12:00,Virtual Zoom,100,8/15/24 10:00
272,Mentor Office Hours,1/22/23 10:00,1/22/23 12:00,Art Studio 2,100,1/15/23 10:00
273,Mentor Office Hours,8/3/25 10:00,8/3/25 12:00,Virtual Zoom,100,7/27/25 10:00
274,Mentor Office Hours,2/16/25 10:00,2/16/25 12:00,Art Studio 2,100,2/9/25 10:00
275,Intro to Painting Class,12/28/23 10:00,12/28/23 12:00,Ella Rises HQ,100,12/21/23 10:00
276,Girls in STEAM Mentoring,11/29/22 10:00,11/29/22 12:00,Community Center Room A,100,11/22/22 10:00
277,Mentor Office Hours,8/6/23 10:00,8/6/23 12:00,Ella Rises HQ,100,7/30/23 10:00
278,Leadership Circle Meetup,8/15/22 10:00,8/15/22 12:00,Ella Rises HQ,100,8/8/22 10:00
279,Robotics Lab Saturday,12/23/23 10:00,12/23/23 12:00,Virtual Zoom,100,12/16/23 10:00
280,Mentor Office Hours,9/18/22 10:00,9/18/22 12:00,Virtual Zoom,100,9/11/22 10:00
281,Mentor Office Hours,1/21/24 10:00,1/21/24 12:00,Art Studio 2,100,1/14/24 10:00
282,Web Dev Bootcamp Night,2/24/23 10:00,2/24/23 12:00,Virtual Zoom,100,2/17/23 10:00
283,Girls in STEAM Mentoring,3/28/23 10:00,3/28/23 12:00,Virtual Zoom,100,3/21/23 10:00
284,Monthly Coding Club,12/15/22 10:00,12/15/22 12:00,Community Center Room A,100,12/8/22 10:00
285,Girls in STEAM Mentoring,11/19/24 10:00,11/19/24 12:00,Ella Rises HQ,100,11/12/24 10:00
286,Girls in STEAM Mentoring,4/5/22 10:00,4/5/22 12:00,Virtual Zoom,100,3/29/22 10:00
287,Mentor Office Hours,3/2/25 10:00,3/2/25 12:00,Ella Rises HQ,100,2/23/25 10:00
288,Web Dev Bootcamp Night,1/3/25 10:00,1/3/25 12:00,Art Studio 2,100,12/27/24 10:00
289,Robotics Lab Saturday,9/16/23 10:00,9/16/23 12:00,Art Studio 2,100,9/9/23 10:00
290,Robotics Lab Saturday,11/12/22 10:00,11/12/22 12:00,Local Library,100,11/5/22 10:00
291,Web Dev Bootcamp Night,8/4/23 10:00,8/4/23 12:00,Community Center Room A,100,7/28/23 10:00
292,Data Science Study Group,5/21/25 10:00,5/21/25 12:00,Local Library,100,5/14/25 10:00
293,Robotics Lab Saturday,9/10/22 10:00,9/10/22 12:00,Local Library,100,9/3/22 10:00
294,Robotics Lab Saturday,10/4/25 10:00,10/4/25 12:00,Local Library,100,9/27/25 10:00
295,Mentor Office Hours,7/14/24 10:00,7/14/24 12:00,Ella Rises HQ,100,7/7/24 10:00
296,Robotics Lab Saturday,9/20/25 10:00,9/20/25 12:00,Ella Rises HQ,100,9/13/25 10:00
297,Web Dev Bootcamp Night,3/10/23 10:00,3/10/23 12:00,Community Center Room A,100,3/3/23 10:00
298,Data Science Study Group,6/8/22 10:00,6/8/22 12:00,Local Library,100,6/1/22 10:00
299,Monthly Art Studio Workshop,6/15/24 10:00,6/15/24 12:00,Community Center Room A,100,6/8/24 10:00
300,Web Dev Bootcamp Night,5/2/25 10:00,5/2/25 12:00,Ella Rises HQ,100,4/25/25 10:00
301,Monthly Coding Club,1/15/24 10:00,1/15/24 12:00,Ella Rises HQ,100,1/8/24 10:00
302,Data Science Study Group,11/2/22 10:00,11/2/22 12:00,Ella Rises HQ,100,10/26/22 10:00
303,Intro to Painting Class,9/11/25 10:00,9/11/25 12:00,Art Studio 2,100,9/4/25 10:00
304,Web Dev Bootcamp Night,3/28/25 10:00,3/28/25 12:00,Art Studio 2,100,3/21/25 10:00
305,Leadership Circle Meetup,3/15/25 10:00,3/15/25 12:00,Virtual Zoom,100,3/8/25 10:00
306,Leadership Circle Meetup,6/15/24 10:00,6/15/24 12:00,Local Library,100,6/8/24 10:00
307,Mentor Office Hours,4/30/23 10:00,4/30/23 12:00,Local Library,100,4/23/23 10:00
308,Mentor Office Hours,1/29/23 10:00,1/29/23 12:00,Virtual Zoom,100,1/22/23 10:00
309,Intro to Painting Class,8/24/23 10:00,8/24/23 12:00,Community Center Room A,100,8/17/23 10:00
310,Monthly Coding Club,8/15/22 10:00,8/15/22 12:00,Community Center Room A,100,8/8/22 10:00
311,Leadership Circle Meetup,4/15/23 10:00,4/15/23 12:00,Virtual Zoom,100,4/8/23 10:00
312,Monthly Art Studio Workshop,11/15/22 10:00,11/15/22 12:00,Virtual Zoom,100,11/8/22 10:00
313,Girls in STEAM Mentoring,10/21/25 10:00,10/21/25 12:00,Ella Rises HQ,100,10/14/25 10:00
314,Data Science Study Group,6/29/22 10:00,6/29/22 12:00,Community Center Room A,100,6/22/22 10:00
315,Intro to Painting Class,4/17/25 10:00,4/17/25 12:00,Community Center Room A,100,4/10/25 10:00
316,Mentor Office Hours,11/3/24 10:00,11/3/24 12:00,Virtual Zoom,100,10/27/24 10:00
317,Intro to Painting Class,4/24/25 10:00,4/24/25 12:00,Local Library,100,4/17/25 10:00
318,Intro to Painting Class,5/11/23 10:00,5/11/23 12:00,Ella Rises HQ,100,5/4/23 10:00
319,Mentor Office Hours,3/23/25 10:00,3/23/25 12:00,Ella Rises HQ,100,3/16/25 10:00
320,Mentor Office Hours,4/27/25 10:00,4/27/25 12:00,Virtual Zoom,100,4/20/25 10:00
321,Web Dev Bootcamp Night,5/30/25 10:00,5/30/25 12:00,Ella Rises HQ,100,5/23/25 10:00
322,Web Dev Bootcamp Night,8/16/24 10:00,8/16/24 12:00,Local Library,100,8/9/24 10:00
323,Robotics Lab Saturday,4/6/24 10:00,4/6/24 12:00,Local Library,100,3/30/24 10:00
324,Data Science Study Group,1/26/22 10:00,1/26/22 12:00,Ella Rises HQ,100,1/19/22 10:00
325,Robotics Lab Saturday,3/9/24 10:00,3/9/24 12:00,Art Studio 2,100,3/2/24 10:00
326,Intro to Painting Class,6/26/25 10:00,6/26/25 12:00,Community Center Room A,100,6/19/25 10:00
327,STEAM Summit & Expo,6/15/23 10:00,6/15/23 12:00,Community Center Room A,100,6/8/23 10:00
328,Web Dev Bootcamp Night,10/14/22 10:00,10/14/22 12:00,Community Center Room A,100,10/7/22 10:00
329,Robotics Lab Saturday,7/19/25 10:00,7/19/25 12:00,Local Library,100,7/12/25 10:00
330,Monthly Art Studio Workshop,10/15/25 10:00,10/15/25 12:00,Local Library,100,10/8/25 10:00
331,Mentor Office Hours,7/7/24 10:00,7/7/24 12:00,Community Center Room A,100,6/30/24 10:00
332,Robotics Lab Saturday,11/27/21 10:00,11/27/21 12:00,Ella Rises HQ,100,11/20/21 10:00
333,Mentor Office Hours,10/23/22 10:00,10/23/22 12:00,Local Library,100,10/16/22 10:00
334,Web Dev Bootcamp Night,9/22/23 10:00,9/22/23 12:00,Community Center Room A,100,9/15/23 10:00
335,Mentor Office Hours,3/20/22 10:00,3/20/22 12:00,Local Library,100,3/13/22 10:00
336,Ella Rises Annual Leadership Conference,6/15/25 10:00,6/15/25 12:00,Art Studio 2,100,6/8/25 10:00
337,Girls in STEAM Mentoring,4/15/25 10:00,4/15/25 12:00,Ella Rises HQ,100,4/8/25 10:00
338,Data Science Study Group,5/3/23 10:00,5/3/23 12:00,Ella Rises HQ,100,4/26/23 10:00
339,Intro to Painting Class,3/24/22 10:00,3/24/22 12:00,Ella Rises HQ,100,3/17/22 10:00
340,Girls in STEAM Mentoring,1/23/24 10:00,1/23/24 12:00,Art Studio 2,100,1/16/24 10:00
341,Intro to Painting Class,11/16/23 10:00,11/16/23 12:00,Art Studio 2,100,11/9/23 10:00
342,Leadership Circle Meetup,6/15/23 10:00,6/15/23 12:00,Virtual Zoom,100,6/8/23 10:00
343,Girls in STEAM Mentoring,6/28/22 10:00,6/28/22 12:00,Ella Rises HQ,100,6/21/22 10:00
344,Girls in STEAM Mentoring,8/27/24 10:00,8/27/24 12:00,Art Studio 2,100,8/20/24 10:00
345,Data Science Study Group,6/25/25 10:00,6/25/25 12:00,Virtual Zoom,100,6/18/25 10:00
346,Robotics Lab Saturday,1/18/25 10:00,1/18/25 12:00,Art Studio 2,100,1/11/25 10:00
347,Data Science Study Group,10/15/25 10:00,10/15/25 12:00,Community Center Room A,100,10/8/25 10:00
348,Mentor Office Hours,5/22/22 10:00,5/22/22 12:00,Community Center Room A,100,5/15/22 10:00
349,Mentor Office Hours,12/24/23 10:00,12/24/23 12:00,Ella Rises HQ,100,12/17/23 10:00
350,Girls in STEAM Mentoring,2/27/24 10:00,2/27/24 12:00,Virtual Zoom,100,2/20/24 10:00
351,Data Science Study Group,9/25/24 10:00,9/25/24 12:00,Virtual Zoom,100,9/18/24 10:00
352,Girls in STEAM Mentoring,4/19/22 10:00,4/19/22 12:00,Community Center Room A,100,4/12/22 10:00
353,Girls in STEAM Mentoring,4/12/22 10:00,4/12/22 12:00,Community Center Room A,100,4/5/22 10:00
354,Data Science Study Group,12/6/23 10:00,12/6/23 12:00,Local Library,100,11/29/23 10:00
355,Robotics Lab Saturday,11/2/24 10:00,11/2/24 12:00,Art Studio 2,100,10/26/24 10:00
356,Robotics Lab Saturday,3/8/25 10:00,3/8/25 12:00,Virtual Zoom,100,3/1/25 10:00
357,Data Science Study Group,12/22/21 10:00,12/22/21 12:00,Local Library,100,12/15/21 10:00
358,Web Dev Bootcamp Night,5/17/24 10:00,5/17/24 12:00,Local Library,100,5/10/24 10:00
359,Leadership Circle Meetup,4/15/25 10:00,4/15/25 12:00,Local Library,100,4/8/25 10:00
360,Intro to Painting Class,8/8/24 10:00,8/8/24 12:00,Virtual Zoom,100,8/1/24 10:00
361,Web Dev Bootcamp Night,7/22/22 10:00,7/22/22 12:00,Virtual Zoom,100,7/15/22 10:00
362,Girls in STEAM Mentoring,9/17/24 10:00,9/17/24 12:00,Ella Rises HQ,100,9/10/24 10:00
363,Web Dev Bootcamp Night,12/8/23 10:00,12/8/23 12:00,Virtual Zoom,100,12/1/23 10:00
364,Mentor Office Hours,4/16/23 10:00,4/16/23 12:00,Local Library,100,4/9/23 10:00
365,Mentor Office Hours,3/19/23 10:00,3/19/23 12:00,Local Library,100,3/12/23 10:00
366,Data Science Study Group,9/14/22 10:00,9/14/22 12:00,Art Studio 2,100,9/7/22 10:00
367,Girls in STEAM Mentoring,2/14/23 10:00,2/14/23 12:00,Ella Rises HQ,100,2/7/23 10:00
368,Girls in STEAM Mentoring,3/29/22 10:00,3/29/22 12:00,Local Library,100,3/22/22 10:00
369,Web Dev Bootcamp Night,3/4/22 10:00,3/4/22 12:00,Virtual Zoom,100,2/25/22 10:00
370,Mentor Office Hours,1/30/22 10:00,1/30/22 12:00,Ella Rises HQ,100,1/23/22 10:00
371,Girls in STEAM Mentoring,5/10/22 10:00,5/10/22 12:00,Local Library,100,5/3/22 10:00
372,Girls in STEAM Mentoring,8/13/24 10:00,8/13/24 12:00,Ella Rises HQ,100,8/6/24 10:00
373,Mentor Office Hours,4/28/24 10:00,4/28/24 12:00,Local Library,100,4/21/24 10:00
374,Girls in STEAM Mentoring,5/2/23 10:00,5/2/23 12:00,Community Center Room A,100,4/25/23 10:00
375,Web Dev Bootcamp Night,8/1/25 10:00,8/1/25 12:00,Local Library,100,7/25/25 10:00
376,Web Dev Bootcamp Night,8/29/25 10:00,8/29/25 12:00,Virtual Zoom,100,8/22/25 10:00
377,Data Science Study Group,10/2/24 10:00,10/2/24 12:00,Local Library,100,9/25/24 10:00
378,Data Science Study Group,12/21/22 10:00,12/21/22 12:00,Ella Rises HQ,100,12/14/22 10:00
379,Girls in STEAM Mentoring,12/5/23 10:00,12/5/23 12:00,Local Library,100,11/28/23 10:00
380,Robotics Lab Saturday,6/28/25 10:00,6/28/25 12:00,Art Studio 2,100,6/21/25 10:00
381,Web Dev Bootcamp Night,6/14/24 10:00,6/14/24 12:00,Local Library,100,6/7/24 10:00
382,Web Dev Bootcamp Night,6/7/24 10:00,6/7/24 12:00,Art Studio 2,100,5/31/24 10:00
383,STEAM Summit & Expo,6/15/22 10:00,6/15/22 12:00,Ella Rises HQ,100,6/8/22 10:00
384,Mentor Office Hours,12/29/24 10:00,12/29/24 12:00,Ella Rises HQ,100,12/22/24 10:00
385,Mentor Office Hours,7/28/24 10:00,7/28/24 12:00,Community Center Room A,100,7/21/24 10:00
386,Robotics Lab Saturday,1/21/23 10:00,1/21/23 12:00,Local Library,100,1/14/23 10:00
387,Robotics Lab Saturday,8/2/25 10:00,8/2/25 12:00,Community Center Room A,100,7/26/25 10:00
388,Girls in STEAM Mentoring,1/18/22 10:00,1/18/22 12:00,Art Studio 2,100,1/11/22 10:00
389,Girls in STEAM Mentoring,7/29/25 10:00,7/29/25 12:00,Virtual Zoom,100,7/22/25 10:00
390,Intro to Painting Class,1/12/23 10:00,1/12/23 12:00,Community Center Room A,100,1/5/23 10:00
391,Monthly Art Studio Workshop,5/15/24 10:00,5/15/24 12:00,Community Center Room A,100,5/8/24 10:00
392,Mentor Office Hours,3/13/22 10:00,3/13/22 12:00,Art Studio 2,100,3/6/22 10:00
393,Web Dev Bootcamp Night,8/12/22 10:00,8/12/22 12:00,Art Studio 2,100,8/5/22 10:00
394,Data Science Study Group,4/6/22 10:00,4/6/22 12:00,Local Library,100,3/30/22 10:00
395,Girls in STEAM Mentoring,8/15/23 10:00,8/15/23 12:00,Ella Rises HQ,100,8/8/23 10:00
396,Girls in STEAM Mentoring,7/18/23 10:00,7/18/23 12:00,Local Library,100,7/11/23 10:00
397,Robotics Lab Saturday,10/25/25 10:00,10/25/25 12:00,Ella Rises HQ,100,10/18/25 10:00
398,Girls in STEAM Mentoring,3/4/25 10:00,3/4/25 12:00,Art Studio 2,100,2/25/25 10:00
399,Monthly Art Studio Workshop,3/15/23 10:00,3/15/23 12:00,Art Studio 2,100,3/8/23 10:00
400,Mentor Office Hours,5/29/22 10:00,5/29/22 12:00,Virtual Zoom,100,5/22/22 10:00
401,Intro to Painting Class,5/15/25 10:00,5/15/25 12:00,Virtual Zoom,100,5/8/25 10:00
402,Intro to Painting Class,8/10/23 10:00,8/10/23 12:00,Ella Rises HQ,100,8/3/23 10:00
403,Girls in STEAM Mentoring,5/28/24 10:00,5/28/24 12:00,Virtual Zoom,100,5/21/24 10:00
404,Girls in STEAM Mentoring,1/17/23 10:00,1/17/23 12:00,Ella Rises HQ,100,1/10/23 10:00
405,Intro to Painting Class,3/13/25 10:00,3/13/25 12:00,Virtual Zoom,100,3/6/25 10:00
406,Mentor Office Hours,5/11/25 10:00,5/11/25 12:00,Community Center Room A,100,5/4/25 10:00
407,Girls in STEAM Mentoring,6/13/23 10:00,6/13/23 12:00,Art Studio 2,100,6/6/23 10:00
408,Monthly Art Studio Workshop,8/15/22 10:00,8/15/22 12:00,Virtual Zoom,100,8/8/22 10:00
409,Monthly Art Studio Workshop,9/15/24 10:00,9/15/24 12:00,Art Studio 2,100,9/8/24 10:00
410,Robotics Lab Saturday,6/3/23 10:00,6/3/23 12:00,Art Studio 2,100,5/27/23 10:00
411,Girls in STEAM Mentoring,12/6/22 10:00,12/6/22 12:00,Local Library,100,11/29/22 10:00
412,Girls in STEAM Mentoring,7/12/22 10:00,7/12/22 12:00,Local Library,100,7/5/22 10:00
413,Intro to Painting Class,5/1/25 10:00,5/1/25 12:00,Community Center Room A,100,4/24/25 10:00
414,Intro to Painting Class,5/8/25 10:00,5/8/25 12:00,Ella Rises HQ,100,5/1/25 10:00
415,Intro to Painting Class,5/12/22 10:00,5/12/22 12:00,Ella Rises HQ,100,5/5/22 10:00
416,Mentor Office Hours,6/26/22 10:00,6/26/22 12:00,Art Studio 2,100,6/19/22 10:00
417,Mentor Office Hours,1/12/25 10:00,1/12/25 12:00,Local Library,100,1/5/25 10:00
418,Intro to Painting Class,6/23/22 10:00,6/23/22 12:00,Local Library,100,6/16/22 10:00
419,Girls in STEAM Mentoring,11/26/24 10:00,11/26/24 12:00,Ella Rises HQ,100,11/19/24 10:00
420,Monthly Coding Club,12/15/23 10:00,12/15/23 12:00,Art Studio 2,100,12/8/23 10:00
421,Data Science Study Group,5/18/22 10:00,5/18/22 12:00,Local Library,100,5/11/22 10:00
422,Robotics Lab Saturday,3/15/25 10:00,3/15/25 12:00,Art Studio 2,100,3/8/25 10:00
423,Intro to Painting Class,4/25/24 10:00,4/25/24 12:00,Local Library,100,4/18/24 10:00
424,Robotics Lab Saturday,7/20/24 10:00,7/20/24 12:00,Art Studio 2,100,7/13/24 10:00
425,Intro to Painting Class,8/18/22 10:00,8/18/22 12:00,Local Library,100,8/11/22 10:00
426,Girls in STEAM Mentoring,1/3/23 10:00,1/3/23 12:00,Art Studio 2,100,12/27/22 10:00
427,Mentor Office Hours,7/31/22 10:00,7/31/22 12:00,Local Library,100,7/24/22 10:00
428,Intro to Painting Class,11/11/21 10:00,11/11/21 12:00,Virtual Zoom,100,11/4/21 10:00
429,Robotics Lab Saturday,11/16/24 10:00,11/16/24 12:00,Art Studio 2,100,11/9/24 10:00
430,Girls in STEAM Mentoring,7/4/23 10:00,7/4/23 12:00,Ella Rises HQ,100,6/27/23 10:00
431,Mentor Office Hours,3/30/25 10:00,3/30/25 12:00,Virtual Zoom,100,3/23/25 10:00
432,Mentor Office Hours,2/26/23 10:00,2/26/23 12:00,Art Studio 2,100,2/19/23 10:00
433,Mentor Office Hours,4/20/25 10:00,4/20/25 12:00,Local Library,100,4/13/25 10:00
434,Mentor Office Hours,4/14/24 10:00,4/14/24 12:00,Virtual Zoom,100,4/7/24 10:00
435,Girls in STEAM Mentoring,3/15/22 10:00,3/15/22 12:00,Ella Rises HQ,100,3/8/22 10:00
436,Data Science Study Group,8/21/24 10:00,8/21/24 12:00,Community Center Room A,100,8/14/24 10:00
437,Data Science Study Group,10/19/22 10:00,10/19/22 12:00,Virtual Zoom,100,10/12/22 10:00
438,Data Science Study Group,9/18/24 10:00,9/18/24 12:00,Virtual Zoom,100,9/11/24 10:00
439,Data Science Study Group,12/4/24 10:00,12/4/24 12:00,Art Studio 2,100,11/27/24 10:00
440,Data Science Study Group,3/9/22 10:00,3/9/22 12:00,Virtual Zoom,100,3/2/22 10:00
441,Mentor Office Hours,1/15/23 10:00,1/15/23 12:00,Art Studio 2,100,1/8/23 10:00
442,Leadership Circle Meetup,7/15/22 10:00,7/15/22 12:00,Ella Rises HQ,100,7/8/22 10:00
443,Mentor Office Hours,1/23/22 10:00,1/23/22 12:00,Local Library,100,1/16/22 10:00
444,Data Science Study Group,4/17/24 10:00,4/17/24 12:00,Community Center Room A,100,4/10/24 10:00
445,Intro to Painting Class,10/27/22 10:00,10/27/22 12:00,Art Studio 2,100,10/20/22 10:00
446,Mentor Office Hours,2/6/22 10:00,2/6/22 12:00,Virtual Zoom,100,1/30/22 10:00
447,Web Dev Bootcamp Night,12/29/23 10:00,12/29/23 12:00,Local Library,100,12/22/23 10:00
448,Mentor Office Hours,5/18/25 10:00,5/18/25 12:00,Virtual Zoom,100,5/11/25 10:00
449,Girls in STEAM Mentoring,12/13/22 10:00,12/13/22 12:00,Art Studio 2,100,12/6/22 10:00
450,Monthly Coding Club,4/15/23 10:00,4/15/23 12:00,Ella Rises HQ,100,4/8/23 10:00
451,Robotics Lab Saturday,2/25/23 10:00,2/25/23 12:00,Ella Rises HQ,100,2/18/23 10:00
452,Mentor Office Hours,11/24/24 10:00,11/24/24 12:00,Ella Rises HQ,100,11/17/24 10:00
453,Robotics Lab Saturday,4/20/24 10:00,4/20/24 12:00,Ella Rises HQ,100,4/13/24 10:00
454,Robotics Lab Saturday,5/18/24 10:00,5/18/24 12:00,Local Library,100,5/11/24 10:00
455,Leadership Circle Meetup,7/15/25 10:00,7/15/25 12:00,Community Center Room A,100,7/8/25 10:00
456,Intro to Painting Class,11/9/23 10:00,11/9/23 12:00,Virtual Zoom,100,11/2/23 10:00
457,Girls in STEAM Mentoring,7/5/22 10:00,7/5/22 12:00,Ella Rises HQ,100,6/28/22 10:00
458,Robotics Lab Saturday,1/20/24 10:00,1/20/24 12:00,Local Library,100,1/13/24 10:00
459,Web Dev Bootcamp Night,9/13/24 10:00,9/13/24 12:00,Virtual Zoom,100,9/6/24 10:00
460,Robotics Lab Saturday,10/21/23 10:00,10/21/23 12:00,Local Library,100,10/14/23 10:00
461,Intro to Painting Class,12/29/22 10:00,12/29/22 12:00,Local Library,100,12/22/22 10:00
462,Monthly Coding Club,1/15/22 10:00,1/15/22 12:00,Art Studio 2,100,1/8/22 10:00
463,Robotics Lab Saturday,1/15/22 10:00,1/15/22 12:00,Ella Rises HQ,100,1/8/22 10:00
464,Leadership Circle Meetup,11/15/25 10:00,11/15/25 12:00,Art Studio 2,100,11/8/25 10:00
465,Monthly Coding Club,2/15/25 10:00,2/15/25 12:00,Art Studio 2,100,2/8/25 10:00
466,Intro to Painting Class,5/5/22 10:00,5/5/22 12:00,Community Center Room A,100,4/28/22 10:00
467,Mentor Office Hours,9/17/23 10:00,9/17/23 12:00,Community Center Room A,100,9/10/23 10:00
468,Web Dev Bootcamp Night,9/20/24 10:00,9/20/24 12:00,Virtual Zoom,100,9/13/24 10:00
469,Girls in STEAM Mentoring,3/11/25 10:00,3/11/25 12:00,Art Studio 2,100,3/4/25 10:00
470,Web Dev Bootcamp Night,6/27/25 10:00,6/27/25 12:00,Ella Rises HQ,100,6/20/25 10:00
471,Girls in STEAM Mentoring,7/16/24 10:00,7/16/24 12:00,Virtual Zoom,100,7/9/24 10:00
472,Girls in STEAM Mentoring,8/19/25 10:00,8/19/25 12:00,Community Center Room A,100,8/12/25 10:00
473,Intro to Painting Class,1/2/25 10:00,1/2/25 12:00,Art Studio 2,100,12/26/24 10:00
474,Mentor Office Hours,12/26/21 10:00,12/26/21 12:00,Virtual Zoom,100,12/19/21 10:00
475,Web Dev Bootcamp Night,5/26/23 10:00,5/26/23 12:00,Virtual Zoom,100,5/19/23 10:00
476,Robotics Lab Saturday,3/30/24 10:00,3/30/24 12:00,Community Center Room A,100,3/23/24 10:00
477,Data Science Study Group,12/18/24 10:00,12/18/24 12:00,Community Center Room A,100,12/11/24 10:00
478,Robotics Lab Saturday,4/30/22 10:00,4/30/22 12:00,Ella Rises HQ,100,4/23/22 10:00
479,Intro to Painting Class,12/19/24 10:00,12/19/24 12:00,Community Center Room A,100,12/12/24 10:00
480,Intro to Painting Class,12/8/22 10:00,12/8/22 12:00,Ella Rises HQ,100,12/1/22 10:00
481,Robotics Lab Saturday,2/18/23 10:00,2/18/23 12:00,Community Center Room A,100,2/11/23 10:00
482,Mentor Office Hours,2/20/22 10:00,2/20/22 12:00,Art Studio 2,100,2/13/22 10:00
483,Mentor Office Hours,6/2/24 10:00,6/2/24 12:00,Art Studio 2,100,5/26/24 10:00
484,Leadership Circle Meetup,2/15/24 10:00,2/15/24 12:00,Ella Rises HQ,100,2/8/24 10:00
485,Web Dev Bootcamp Night,4/7/23 10:00,4/7/23 12:00,Community Center Room A,100,3/31/23 10:00
486,Web Dev Bootcamp Night,10/7/22 10:00,10/7/22 12:00,Ella Rises HQ,100,9/30/22 10:00
487,Intro to Painting Class,11/28/24 10:00,11/28/24 12:00,Local Library,100,11/21/24 10:00
488,Leadership Circle Meetup,2/15/22 10:00,2/15/22 12:00,Art Studio 2,100,2/8/22 10:00
489,Girls in STEAM Mentoring,10/14/25 10:00,10/14/25 12:00,Art Studio 2,100,10/7/25 10:00
490,Girls in STEAM Mentoring,6/6/23 10:00,6/6/23 12:00,Virtual Zoom,100,5/30/23 10:00
491,Robotics Lab Saturday,7/1/23 10:00,7/1/23 12:00,Ella Rises HQ,100,6/24/23 10:00
492,Robotics Lab Saturday,6/15/24 10:00,6/15/24 12:00,Local Library,100,6/8/24 10:00
493,Data Science Study Group,7/12/23 10:00,7/12/23 12:00,Ella Rises HQ,100,7/5/23 10:00
494,Intro to Painting Class,3/30/23 10:00,3/30/23 12:00,Local Library,100,3/23/23 10:00
495,Robotics Lab Saturday,6/18/22 10:00,6/18/22 12:00,Ella Rises HQ,100,6/11/22 10:00
496,Robotics Lab Saturday,6/24/23 10:00,6/24/23 12:00,Community Center Room A,100,6/17/23 10:00
497,Robotics Lab Saturday,1/1/22 10:00,1/1/22 12:00,Ella Rises HQ,100,12/25/21 10:00
498,Web Dev Bootcamp Night,6/3/22 10:00,6/3/22 12:00,Community Center Room A,100,5/27/22 10:00
499,Girls in STEAM Mentoring,12/7/21 10:00,12/7/21 12:00,Community Center Room A,100,11/30/21 10:00
500,Leadership Circle Meetup,7/15/23 10:00,7/15/23 12:00,Community Center Room A,100,7/8/23 10:00
501,Girls in STEAM Mentoring,4/11/23 10:00,4/11/23 12:00,Art Studio 2,100,4/4/23 10:00
502,Mentor Office Hours,3/3/24 10:00,3/3/24 12:00,Ella Rises HQ,100,2/25/24 10:00
503,Girls in STEAM Mentoring,12/24/24 10:00,12/24/24 12:00,Community Center Room A,100,12/17/24 10:00
504,Girls in STEAM Mentoring,9/10/24 10:00,9/10/24 12:00,Virtual Zoom,100,9/3/24 10:00
505,Monthly Art Studio Workshop,12/15/24 10:00,12/15/24 12:00,Art Studio 2,100,12/8/24 10:00
506,Intro to Painting Class,1/16/25 10:00,1/16/25 12:00,Virtual Zoom,100,1/9/25 10:00
507,Data Science Study Group,3/20/24 10:00,3/20/24 12:00,Art Studio 2,100,3/13/24 10:00
508,Monthly Art Studio Workshop,7/15/25 10:00,7/15/25 12:00,Art Studio 2,100,7/8/25 10:00
509,Mentor Office Hours,7/24/22 10:00,7/24/22 12:00,Local Library,100,7/17/22 10:00
510,Robotics Lab Saturday,5/25/24 10:00,5/25/24 12:00,Art Studio 2,100,5/18/24 10:00
511,Girls in STEAM Mentoring,1/16/24 10:00,1/16/24 12:00,Art Studio 2,100,1/9/24 10:00
512,Data Science Study Group,7/10/24 10:00,7/10/24 12:00,Community Center Room A,100,7/3/24 10:00
513,Girls in STEAM Mentoring,5/27/25 10:00,5/27/25 12:00,Art Studio 2,100,5/20/25 10:00
514,Web Dev Bootcamp Night,6/16/23 10:00,6/16/23 12:00,Ella Rises HQ,100,6/9/23 10:00
515,Intro to Painting Class,5/29/25 10:00,5/29/25 12:00,Community Center Room A,100,5/22/25 10:00
516,Intro to Painting Class,10/31/24 10:00,10/31/24 12:00,Community Center Room A,100,10/24/24 10:00
517,Intro to Painting Class,12/30/21 10:00,12/30/21 12:00,Virtual Zoom,100,12/23/21 10:00
518,Girls in STEAM Mentoring,5/14/24 10:00,5/14/24 12:00,Virtual Zoom,100,5/7/24 10:00
519,Intro to Painting Class,3/31/22 10:00,3/31/22 12:00,Local Library,100,3/24/22 10:00
